req_id,source_file,source_line,sdc_command,sdc_line,spec_ref,design,status
REQ-NFR-F001,designs/tinystories_npu/constraints/tinystories_npu.sdc,10,create_clock,create_clock -name clk -period 2.000,spec/ARCH/timing.md,tinystories_npu,implemented
REQ-NFR-F002,designs/tinystories_npu/constraints/tinystories_npu.sdc,16,create_clock,create_clock -name vclk_aon -period 1000.0,spec/ARCH/timing.md,tinystories_npu,implemented
REQ-NFR-F003,designs/tinystories_npu/constraints/tinystories_npu.sdc,21,create_clock,create_clock -name vclk_io -period 20.0,spec/ARCH/timing.md,tinystories_npu,implemented
REQ-NFR-F010,designs/tinystories_npu/constraints/tinystories_npu.sdc,27,set_input_delay,set_input_delay -clock clk -max 0.600 [all_inputs],spec/ARCH/timing.md,tinystories_npu,implemented
REQ-NFR-F011,designs/tinystories_npu/constraints/tinystories_npu.sdc,32,set_input_delay,set_input_delay -clock clk -min 0.5 [all_inputs],spec/ARCH/timing.md,tinystories_npu,implemented
REQ-NFR-F012,designs/tinystories_npu/constraints/tinystories_npu.sdc,37,set_output_delay,set_output_delay -clock clk -max 0.600 [all_outputs],spec/ARCH/timing.md,tinystories_npu,implemented
REQ-NFR-F013,designs/tinystories_npu/constraints/tinystories_npu.sdc,42,set_output_delay,set_output_delay -clock clk -min 0.5 [all_outputs],spec/ARCH/timing.md,tinystories_npu,implemented
REQ-NFR-F020,designs/tinystories_npu/constraints/tinystories_npu.sdc,48,set_false_path,set_false_path -from [get_ports rst_n] -to [all_registers],spec/ARCH/timing.md,tinystories_npu,implemented
REQ-NFR-F021,designs/tinystories_npu/constraints/tinystories_npu.sdc,53,set_false_path,set_false_path -from [get_ports por_in] -to [all_registers],spec/ARCH/timing.md,tinystories_npu,implemented
REQ-NFR-F050,designs/tinystories_npu/constraints/tinystories_npu.sdc,82,set_clock_groups,set_clock_groups -asynchronous -group [get_clocks clk] -group [get_clocks vclk_aon] -group [get_clocks vclk_io],spec/ARCH/timing.md,tinystories_npu,implemented
REQ-M12-F001,designs/tinystories_npu/pd/sta_M12_SoftMax.sdc,7,create_clock,create_clock -name clk_sys -period 2.0 [get_ports clk_sys],spec/MAS/M12_SoftMax/MAS.md,tinystories_npu,implemented
REQ-M12-F010,designs/tinystories_npu/pd/sta_M12_SoftMax.sdc,13,set_input_delay,set_input_delay -clock clk_sys 0.1 [get_ports score_valid],spec/MAS/M12_SoftMax/MAS.md,tinystories_npu,implemented
REQ-M12-F011,designs/tinystories_npu/pd/sta_M12_SoftMax.sdc,18,set_input_delay,set_input_delay -clock clk_sys 0.1 [get_ports softmax_start],spec/MAS/M12_SoftMax/MAS.md,tinystories_npu,implemented
REQ-M12-F020,designs/tinystories_npu/pd/sta_M12_SoftMax.sdc,24,set_output_delay,set_output_delay -clock clk_sys 0.1 [get_ports prob_valid],spec/MAS/M12_SoftMax/MAS.md,tinystories_npu,implemented
REQ-M12-F021,designs/tinystories_npu/pd/sta_M12_SoftMax.sdc,29,set_output_delay,set_output_delay -clock clk_sys 0.1 [get_ports softmax_done],spec/MAS/M12_SoftMax/MAS.md,tinystories_npu,implemented
